count_head,blink,aware,shouting,silent
31,0,2,11,0
53,6,2,3,0
48,16,14,10,3
58,13,9,15,12
29,16,7,10,12
21,11,13,10,12
65,13,10,4,8
59,20,19,32,16
101,23,8,49,24
65,21,27,55,22
63,14,16,32,11
98,19,18,2,6
37,18,6,6,10
127,9,23,14,3
45,9,4,1,4
76,0,14,16,7
137,9,9,15,9
136,10,7,7,5
116,10,17,30,5
72,13,18,26,7
92,9,9,7,13
44,11,13,10,4
68,11,7,11,6
43,12,11,15,5
74,7,8,6,4
52,7,14,6,9
101,2,8,30,8
53,8,11,3,4
77,5,13,18,18
87,4,13,26,16
72,16,14,16,14
57,4,9,10,12
47,23,21,8,10
48,17,6,4,9
29,7,7,10,3
39,16,8,10,14
6,10,12,11,5
112,21,8,12,3
83,5,11,12,8
76,0,5,22,9
96,3,12,13,14
62,8,3,8,9
59,16,6,10,6
29,0,7,8,11
31,14,7,6,13
47,6,3,1,2
99,1,9,4,14
92,9,3,4,3
40,18,20,22,11
35,10,13,7,11
79,14,11,15,18
56,9,12,18,17
10,13,12,10,8
17,12,3,6,9
43,9,13,22,9
85,11,9,7,5
83,15,8,12,9
31,12,17,5,0
21,21,23,20,19
60,31,6,15,19
130,7,12,28,12
49,13,17,19,12
18,0,2,5,0
119,9,13,8,15
108,22,14,17,14
111,21,6,15,11
92,9,6,18,7
24,16,9,30,14
79,18,12,13,7
127,12,19,42,19
63,17,13,37,8
7,1,7,12,7
69,0,7,13,12
15,1,1,1,1
79,14,7,18,2
11,0,4,3,0
69,17,13,17,14
28,0,5,11,9
62,13,15,51,17
44,23,43,40,17
36,0,4,47,0
102,4,10,43,15
106,0,4,11,12
161,13,25,51,18
88,15,2,3,8
68,19,10,5,5
92,4,11,18,4
192,15,7,24,11
99,15,8,12,9
183,8,10,12,18
138,11,4,24,18
77,22,5,21,14
167,0,1,19,7
109,9,10,21,8
106,0,3,16,9
92,8,9,18,15
74,7,13,23,11
7,13,13,17,6
112,18,14,18,14
64,10,6,16,4
81,10,9,9,3
83,0,5,24,14
17,30,12,22,16
14,14,13,20,0
54,8,6,2,9
5,0,26,17,7
67,12,7,2,0
91,5,8,8,8
89,10,6,16,9
71,9,6,4,0
51,22,7,4,8
64,25,14,27,16
102,14,4,20,13
26,8,27,17,20
87,8,14,19,7
47,20,6,19,11
65,25,4,7,17
74,3,20,9,7
78,16,10,13,7
35,4,23,19,9
74,11,12,3,8
31,2,2,6,1
37,4,1,7,1
22,5,5,29,13
11,26,18,21,14
125,34,5,35,21
20,15,21,22,28
17,20,11,30,15
28,17,17,14,18
13,24,10,65,17
129,21,14,6,8
32,16,12,9,16
39,14,6,7,9
19,11,13,13,10
42,15,13,19,13
55,18,9,12,6
189,15,10,10,8
25,0,2,24,7
32,0,3,21,14
30,29,14,24,6
58,0,1,30,15
37,0,1,4,5
35,0,2,37,21
11,8,9,17,11
13,17,4,20,9
