,time,value
23,00:23:00,0
24,00:24:00,0
25,00:25:00,0
26,00:26:00,1
27,00:27:00,0
28,00:28:00,0
29,00:29:00,0
30,00:30:00,0
31,00:31:00,1
32,00:32:00,1
33,00:33:00,0
34,00:34:00,0
35,00:35:00,1
36,00:36:00,1
37,00:37:00,0
38,00:38:00,1
39,00:39:00,0
40,00:40:00,1
41,00:41:00,0
42,00:42:00,1
43,00:43:00,1
44,00:44:00,1
45,00:45:00,1
46,00:46:00,1
47,00:47:00,1
48,00:48:00,1
49,00:49:00,1
50,00:50:00,1
51,00:51:00,1
52,00:52:00,1
53,00:53:00,1
54,00:54:00,1
55,00:55:00,1
56,00:56:00,1
57,00:57:00,1
58,00:58:00,1
59,00:59:00,1
60,01:00:00,1
61,01:01:00,1
62,01:02:00,1
63,01:03:00,1
64,01:04:00,1
65,01:05:00,1
66,01:06:00,1
67,01:07:00,0
68,01:08:00,1
69,01:09:00,1
70,01:10:00,1
71,01:11:00,1
