,time,value
122,02:02:00,1
123,02:03:00,1
124,02:04:00,1
125,02:05:00,1
126,02:06:00,1
127,02:07:00,1
128,02:08:00,1
129,02:09:00,1
130,02:10:00,1
131,02:11:00,1
132,02:12:00,1
133,02:13:00,1
134,02:14:00,1
135,02:15:00,1
136,02:16:00,1
137,02:17:00,1
138,02:18:00,1
139,02:19:00,1
140,02:20:00,1
141,02:21:00,1
142,02:22:00,1
143,02:23:00,1
144,02:24:00,1
145,02:25:00,1
146,02:26:00,1
147,02:27:00,1
148,02:28:00,1
149,02:29:00,1
150,02:30:00,1
151,02:31:00,1
152,02:32:00,1
153,02:33:00,1
154,02:34:00,1
155,02:35:00,1
156,02:36:00,1
157,02:37:00,1
158,02:38:00,1
159,02:39:00,1
160,02:40:00,1
161,02:41:00,1
162,02:42:00,1
163,02:43:00,1
164,02:44:00,1
165,02:45:00,1
166,02:46:00,1
167,02:47:00,1
168,02:48:00,1
169,02:49:00,1
170,02:50:00,1
171,02:51:00,1
172,02:52:00,1
173,02:53:00,1
174,02:54:00,1
175,02:55:00,1
176,02:56:00,1
177,02:57:00,1
178,02:58:00,1
179,02:59:00,1
180,03:00:00,1
181,03:01:00,1
182,03:02:00,1
183,03:03:00,1
184,03:04:00,1
185,03:05:00,1
186,03:06:00,1
187,03:07:00,1
188,03:08:00,1
189,03:09:00,1
190,03:10:00,1
191,03:11:00,1
192,03:12:00,1
193,03:13:00,1
194,03:14:00,1
195,03:15:00,1
196,03:16:00,1
197,03:17:00,1
198,03:18:00,1
199,03:19:00,1
200,03:20:00,1
201,03:21:00,1
202,03:22:00,1
203,03:23:00,1
204,03:24:00,1
205,03:25:00,1
206,03:26:00,1
207,03:27:00,1
208,03:28:00,1
209,03:29:00,1
210,03:30:00,1
211,03:31:00,1
212,03:32:00,1
213,03:33:00,1
214,03:34:00,1
215,03:35:00,1
216,03:36:00,1
217,03:37:00,1
218,03:38:00,1
219,03:39:00,1
220,03:40:00,1
221,03:41:00,1
222,03:42:00,1
223,03:43:00,1
224,03:44:00,1
225,03:45:00,1
226,03:46:00,1
227,03:47:00,1
228,03:48:00,1
229,03:49:00,1
230,03:50:00,1
231,03:51:00,1
232,03:52:00,1
233,03:53:00,1
234,03:54:00,0
235,03:55:00,1
236,03:56:00,1
237,03:57:00,1
238,03:58:00,1
239,03:59:00,1
240,04:00:00,1
241,04:01:00,1
242,04:02:00,1
243,04:03:00,1
244,04:04:00,1
245,04:05:00,1
246,04:06:00,1
247,04:07:00,1
248,04:08:00,1
249,04:09:00,1
250,04:10:00,1
251,04:11:00,1
252,04:12:00,1
253,04:13:00,1
254,04:14:00,1
255,04:15:00,1
256,04:16:00,1
257,04:17:00,1
258,04:18:00,1
259,04:19:00,1
260,04:20:00,1
261,04:21:00,1
262,04:22:00,1
263,04:23:00,1
264,04:24:00,1
265,04:25:00,1
266,04:26:00,1
267,04:27:00,1
268,04:28:00,1
269,04:29:00,1
270,04:30:00,1
271,04:31:00,1
272,04:32:00,1
273,04:33:00,1
274,04:34:00,1
275,04:35:00,1
276,04:36:00,1
277,04:37:00,0
278,04:38:00,0
279,04:39:00,1
280,04:40:00,1
